,Player,Pos,Tm,GP,GS,MPG,PPG,RPG,APG,SPG,BPG,TPG,FPG,FG,FGA,3P,3PA,FT,FTA,TS%,PRF
281,Kentavious Caldwell-Pope,SG,DEN,4,4,37,11.2,3.0,4.0,1.8,0.5,1.0,1.8,15,32,7,15,8,10,62.0,17.7
282,Keon Ellis,SG,SAC,4,1,13,4.5,1.0,1.0,0.5,0.8,0.5,1.0,5,13,3,11,5,6,58.0,6.3
283,Kessler Edwards,SF,SAC,3,0,5,2.0,0.8,0.2,0.2,0.0,0.0,0.2,4,8,2,4,0,0,38.0,3.0
284,Kevin Durant,PF,PHO,4,4,36,34.5,7.2,6.8,0.0,0.5,3.2,3.5,53,87,16,23,16,19,72.0,42.3
285,Kevin Huerter,SG,SAC,5,5,29,16.0,5.2,2.8,1.2,0.4,0.6,2.8,32,60,13,33,3,4,65.0,22.199999999999996
286,Kevin Knox,SF,DET,2,1,14,5.8,3.5,0.5,0.5,0.2,0.5,1.5,10,18,3,8,0,0,32.0,8.5
287,Kevin Love,PF,MIA,3,1,14,4.0,4.8,1.5,0.0,0.0,0.5,1.0,4,23,3,16,5,6,23.0,8.8
288,Kevon Looney,C,GSW,4,3,24,3.5,7.0,3.2,1.2,0.2,1.0,3.2,4,10,0,0,6,9,50.0,10.899999999999999
289,Keyonte George,PG,UTA,4,4,26,11.5,3.2,6.5,0.8,0.2,2.2,1.8,14,43,7,24,11,12,48.0,18.2
290,Khris Middleton,SF,MIL,6,6,22,13.7,5.8,3.8,0.7,0.0,1.3,1.8,32,67,12,24,6,6,59.0,20.9
291,Killian Hayes,PG,DET,4,3,25,10.2,2.2,4.0,1.0,0.8,0.8,0.8,16,37,3,11,6,9,50.0,16.599999999999998
292,Kira Lewis Jr.,PG,NOP,2,0,1,0.7,0.0,0.0,0.0,0.0,0.2,0.0,2,4,0,1,0,0,18.0,0.49999999999999994
293,Klay Thompson,SF,GSW,4,4,24,13.2,3.8,2.2,0.5,0.5,1.5,2.2,15,36,10,24,13,15,62.0,16.5
294,Kobe Brown,PF,LAC,1,0,4,2.3,0.3,0.0,0.0,0.0,0.3,0.7,3,4,1,1,0,0,29.0,1.5999999999999999
295,Kris Dunn,PG,UTA,1,0,2,1.2,0.0,0.5,0.0,0.0,0.8,0.2,2,4,1,1,0,0,15.0,0.7
296,Kris Murray,SF,POR,3,0,3,1.0,0.3,0.0,0.3,0.0,0.0,0.3,1,4,1,3,0,0,38.0,1.3
297,Kristaps Porziņģis,C,BOS,3,3,27,10.7,6.0,3.0,1.0,1.3,1.3,2.7,12,26,1,9,7,8,54.0,18.0
